Players,GP,Pre,Current,FGM,FGA,FG,FTM,FTA,FT,3PTM,PTS,OREB,DREB,REB,AST,ST,BLK,A/T
S. Vujacic NY - SG,57,337,359,1.3,3.4,0.396,0.5,0.6,0.853,0.7,3.9,0.3,1.3,1.6,1.1,0.4,0.1,1.7
F. Ezeli Por - C,58,338,283,2.6,4.9,0.537,1.2,2.1,0.554,0.0,6.4,1.8,2.9,4.7,0.6,0.4,1.0,0.7
B. Udrih Mia - PG,62,339,362,1.3,3.1,0.427,0.3,0.3,0.842,0.3,3.2,0.2,0.9,1.0,2.0,0.2,0.0,2.1
"C. Andersen Cle - PF,C",42,340,364,1.2,2.2,0.548,0.7,1.0,0.682,0.1,3.2,1.1,1.9,3.0,0.3,0.5,0.4,1.1
"K. Seraphin Ind - PF,C",47,341,367,1.9,4.3,0.455,0.5,0.6,0.759,0.0,4.3,0.7,1.9,2.5,0.7,0.2,0.7,0.8
N. Powell Tor - SG,63,342,286,2.2,5.2,0.433,1.0,1.2,0.795,0.8,6.2,0.4,2.3,2.7,1.2,0.7,0.2,1.5
"D. Motiejunas Hou - SF,PF",47,343,343,2.3,5.1,0.456,0.9,1.4,0.621,0.5,6.0,0.9,2.2,3.1,1.0,0.5,0.3,1.0
C. Payne OKC - PG,76,344,234,2.6,6.2,0.419,0.7,0.9,0.821,0.8,6.7,0.3,1.9,2.2,2.4,0.8,0.1,2.3
"J. Sampson Den - SG,SF",0,345,502,,,0.000,,,0.000,,,,,,,,,0.0
"B. Roberts Cha - PG,SG",43,346,390,1.3,3.0,0.427,0.8,0.9,0.919,0.3,3.7,0.1,0.7,0.8,1.0,0.2,0.0,2.0
J. Anderson Dal - SF,71,347,272,1.8,4.2,0.419,1.1,1.3,0.828,0.7,5.3,0.6,2.6,3.2,0.8,0.5,0.7,1.3
"N. Collison OKC - PF,C",53,348,379,0.8,1.8,0.454,0.4,0.5,0.724,0.0,2.1,1.1,1.8,2.9,0.7,0.2,0.3,0.9
S. Kilpatrick Bkn - SG,78,349,144,5.0,11.1,0.452,2.3,2.6,0.882,1.6,14.0,0.4,1.8,2.2,1.1,0.4,0.1,0.9
"T. Robinson LAL - PF,C",65,350,285,2.3,4.9,0.468,0.8,1.7,0.455,0.0,5.3,1.8,5.6,7.4,0.6,0.6,0.5,0.5
H. Sims Uta - C,0,351,638,,,0.000,,,0.000,,,,,,,,,0.0
"J. Jones Cle - SG,SF",45,352,389,1.3,3.2,0.411,0.5,0.6,0.846,1.0,4.1,0.1,0.8,0.9,0.3,0.2,0.2,1.2
"J. Ennis Mem - SG,SF",49,353,361,1.4,3.1,0.450,0.8,1.1,0.774,0.7,4.3,0.6,1.3,1.9,0.6,0.3,0.2,1.1
T. Daniels Mem - PG,66,354,290,2.9,6.4,0.459,0.4,0.5,0.735,1.9,8.1,0.3,1.3,1.6,0.7,0.5,0.1,0.9
"K. Hinrich Atl - PG,SG",0,355,607,,,0.000,,,0.000,,,,,,,,,0.0
"M. Beasley Mil - SF,PF",76,356,169,4.8,10.1,0.473,1.9,2.4,0.769,0.3,11.7,1.3,3.3,4.6,0.9,0.5,0.5,0.6
"G. Vasquez Bkn - PG,SG",69,357,240,2.7,6.9,0.390,0.9,1.1,0.829,1.3,7.6,0.2,2.1,2.3,4.2,0.4,0.1,2.2
"A. Miller SA - PG,SG",0,358,492,,,0.000,,,0.000,,,,,,,,,0.0
"A. Bargnani Bkn - PF,C",0,359,459,,,0.000,,,0.000,,,,,,,,,0.0
M. Huertas LAL - PG,55,360,348,1.4,3.3,0.419,0.4,0.5,0.840,0.3,3.4,0.3,1.1,1.3,2.6,0.4,0.1,2.3
"I. Clark GS - PG,SG",70,361,337,1.4,3.3,0.433,0.5,0.6,0.800,0.6,3.9,0.2,1.0,1.2,1.1,0.3,0.2,1.4
J. Simmons SA - SF,67,362,298,2.4,4.8,0.492,1.4,1.8,0.769,0.4,6.5,0.3,1.7,2.0,1.2,0.5,0.1,1.1
"T. Black LAL - PF,C",51,363,336,1.7,3.1,0.564,0.7,1.4,0.522,0.0,4.2,1.2,3.0,4.1,0.5,0.4,0.5,0.8
R. McCallum Det - PG,0,364,462,,,0.000,,,0.000,,,,,,,,,0.0
"A. Varejao GS - PF,C",56,365,360,1.1,2.4,0.460,0.8,1.1,0.677,0.0,3.0,0.8,1.9,2.7,0.8,0.3,0.3,1.7
"A. Anderson LAC - SG,SF",58,366,338,1.6,4.1,0.401,0.9,1.1,0.758,0.8,5.0,0.2,1.7,1.9,1.1,0.3,0.1,2.2
C. Butler Sac - SF,0,367,527,,,0.000,,,0.000,,,,,,,,,0.0
T. Ennis Hou - PG,55,368,351,1.7,3.9,0.429,0.3,0.5,0.731,0.3,4.0,0.2,1.2,1.5,1.8,0.5,0.1,2.1
"R. Kelly Atl - SF,PF",0,369,466,,,0.000,,,0.000,,,,,,,,,0.0
J. McGee GS - C,0,370,507,,,0.000,,,0.000,,,,,,,,,0.0
S. Mejri Dal - C,68,371,224,2.2,3.6,0.617,1.3,2.1,0.615,0.0,5.7,1.8,3.6,5.4,0.4,0.3,1.6,0.4
"R. Bullock Det - SG,SF",48,372,372,1.2,2.8,0.426,0.4,0.5,0.818,0.6,3.4,0.4,1.7,2.0,0.6,0.4,0.1,2.2
S. Napier Por - PG,48,373,370,1.5,4.0,0.368,0.6,0.8,0.769,0.8,4.3,0.2,1.2,1.4,1.7,0.4,0.1,1.9
"R. Vaughn Mil - SG,SF",67,374,328,1.8,4.6,0.379,0.3,0.3,0.826,0.8,4.6,0.3,1.5,1.8,0.7,0.5,0.2,1.5
"C. Kaman Por - PF,C",0,375,605,,,0.000,,,0.000,,,,,,,,,0.0
K. McDaniels Hou - SF,49,376,380,1.2,3.0,0.412,0.9,1.1,0.764,0.3,3.7,0.6,1.1,1.7,0.5,0.2,0.4,0.7
"W. Reed Mia - PF,C",77,377,207,2.8,5.0,0.558,1.2,2.1,0.591,0.0,6.8,1.8,2.9,4.7,0.4,0.3,1.2,0.6
"J. McRoberts Mia - PF,C",56,378,322,1.5,3.5,0.443,0.7,1.0,0.722,0.5,4.3,0.5,2.1,2.6,1.9,0.4,0.2,2.2
J. Meeks Orl - SG,16,379,435,1.9,4.6,0.405,0.7,0.8,0.846,0.8,5.2,0.2,0.8,1.0,0.5,0.3,0.1,1.1
J. Farmar Sac - PG,30,380,399,1.4,3.3,0.410,0.3,0.4,0.727,0.5,3.5,0.2,1.0,1.2,1.6,0.5,0.1,2.4
"M. Bonner SA - PF,C",0,381,612,,,0.000,,,0.000,,,,,,,,,0.0
K. Oubre Jr. Was - SF,0,382,504,,,0.000,,,0.000,,,,,,,,,0.0
T. Jones Min - PG,56,383,309,1.8,4.7,0.380,0.9,1.2,0.754,0.5,5.0,0.2,1.1,1.3,3.1,0.8,0.1,2.8
"J. Jenkins Pho - SG,SF",38,384,397,1.6,3.5,0.455,0.5,0.6,0.826,0.5,4.2,0.2,1.2,1.4,0.7,0.2,0.0,1.1
G. Robinson III Ind - SF,0,385,483,,,0.000,,,0.000,,,,,,,,,0.0
"J. Anderson Sac - SG,SF",0,386,609,,,0.000,,,0.000,,,,,,,,,0.0
"M. Miller Den - SG,SF",42,387,418,0.5,1.2,0.365,0.0,0.0,1.000,0.4,1.4,0.1,0.9,1.0,0.8,0.1,0.0,2.3
C. Felicio Chi - C,67,388,256,2.0,3.6,0.550,1.2,1.7,0.730,0.0,5.2,1.5,3.4,4.9,1.1,0.3,0.6,1.5
J. O'Bryant Was - PF,32,389,427,1.2,2.9,0.409,0.4,0.6,0.632,0.0,2.8,0.8,1.3,2.1,0.4,0.2,0.1,0.8
"D. Gooden Was - PF,C",0,390,525,,,0.000,,,0.000,,,,,,,,,0.0
"S. Karasev Bkn - SG,SF",0,391,461,,,0.000,,,0.000,,,,,,,,,0.0
"E. Brand Phi - PF,C",0,392,489,,,0.000,,,0.000,,,,,,,,,0.0
"J. Evans Ind - SF,PF",34,393,407,0.8,1.5,0.549,0.6,0.7,0.760,0.1,2.3,0.4,1.2,1.6,0.1,0.2,0.2,0.5
R. Sacre NO - C,0,394,636,,,0.000,,,0.000,,,,,,,,,0.0
U. Haslem Mia - PF,44,395,412,0.7,1.5,0.433,0.3,0.4,0.688,0.0,1.6,0.2,1.6,1.8,0.3,0.2,0.1,1.5
"M. World Peace LAL - SF,PF",0,396,494,,,0.000,,,0.000,,,,,,,,,0.0
"T. Hansbrough Cha - PF,C",18,397,438,0.7,1.6,0.448,0.9,1.2,0.727,0.0,2.3,0.7,1.2,1.9,0.2,0.3,0.1,0.8
A. Payne Min - PF,39,398,403,1.1,2.7,0.383,0.3,0.5,0.684,0.2,2.6,0.5,1.6,2.1,0.6,0.4,0.2,0.8
"A. Goodwin Pho - PG,SG",50,399,363,2.1,5.1,0.423,1.5,2.2,0.694,0.3,6.1,0.4,1.2,1.6,1.4,0.3,0.1,1.2
"D. Rudez Orl - SG,SF",30,400,441,1.0,2.3,0.426,0.2,0.2,0.714,0.5,2.6,0.1,0.5,0.6,0.3,0.1,0.1,0.7
"J. Anthony SA - PF,C",0,401,486,,,0.000,,,0.000,,,,,,,,,0.0
"Q. Pondexter NO - SG,SF",58,402,325,2.2,5.1,0.431,0.8,1.1,0.726,0.9,6.1,0.5,1.5,2.0,1.1,0.2,0.2,1.7
K. Perkins NO - C,15,403,443,0.9,1.8,0.481,0.4,0.7,0.600,0.0,2.1,0.6,2.6,3.2,0.7,0.2,0.3,0.7
L. Nogueira Tor - C,57,404,324,1.6,2.8,0.579,0.6,0.9,0.604,0.0,3.8,0.8,2.1,2.9,0.4,0.6,0.5,0.6
A. Brown LAL - SF,41,405,409,0.9,2.4,0.364,0.3,0.4,0.733,0.5,2.5,0.1,1.1,1.2,0.4,0.3,0.1,1.4
R. Hunter Bos - SG,44,406,391,1.3,3.4,0.380,0.2,0.3,0.750,0.8,3.6,0.1,1.3,1.4,0.5,0.5,0.1,1.0
M. Harrell Hou - PF,60,407,308,1.9,3.1,0.613,1.0,1.6,0.635,0.1,4.9,0.8,2.2,3.0,0.7,0.4,0.6,1.2
K. Marshall Uta - PG,0,408,627,,,0.000,,,0.000,,,,,,,,,0.0
J. Martin Mem - PF,51,409,312,2.4,5.2,0.471,1.9,2.5,0.736,0.0,6.7,1.5,3.0,4.5,0.7,0.4,0.4,0.9
J. Hamilton NO - SF,0,410,617,,,0.000,,,0.000,,,,,,,,,0.0
P. Pressey GS - PG,0,411,467,,,0.000,,,0.000,,,,,,,,,0.0
"A. Bennett Bkn - SF,PF",42,412,417,0.8,2.2,0.385,0.4,0.6,0.708,0.2,2.2,0.4,1.0,1.4,0.2,0.2,0.1,0.6
"J. Hamilton Bkn - PF,C",54,413,340,1.4,3.0,0.479,0.7,0.8,0.822,0.2,3.8,0.9,1.3,2.2,0.5,0.5,0.4,1.0
"J. Hickson Was - PF,C",0,414,508,,,0.000,,,0.000,,,,,,,,,0.0
"J. Young Ind - PG,SG",53,415,349,1.8,4.8,0.383,0.7,0.8,0.833,0.4,4.8,0.3,1.3,1.6,2.1,0.5,0.0,2.0
D. Hilliard Det - SG,35,416,402,1.4,3.3,0.414,0.8,1.1,0.730,0.4,3.9,0.2,1.0,1.2,0.7,0.3,0.0,1.4
"A. Toupane Den - SG,SF",40,417,392,1.2,3.0,0.387,0.5,0.6,0.800,0.5,3.3,0.4,1.0,1.3,0.7,0.3,0.2,2.9
D. Wright Tor - PG,29,418,394,1.6,3.7,0.443,1.1,1.4,0.780,0.2,4.6,0.3,1.2,1.5,1.3,0.4,0.1,1.8
C. Wilcox Orl - SG,34,419,419,1.1,2.6,0.404,0.3,0.4,0.833,0.3,2.7,0.1,0.5,0.6,0.4,0.4,0.1,1.6
"J. Ayres LAC - PF,C",0,420,529,,,0.000,,,0.000,,,,,,,,,0.0
"D. Wright LAC - SG,SF",0,421,616,,,0.000,,,0.000,,,,,,,,,0.0
J. Michael McAdoo GS - PF,39,422,401,1.1,2.0,0.544,0.8,1.4,0.566,0.0,3.0,0.8,1.0,1.8,0.5,0.2,0.2,0.9
"R. Hummel Den - SF,PF",0,423,635,,,0.000,,,0.000,,,,,,,,,0.0
X. Munford LAC - SG,0,424,522,,,0.000,,,0.000,,,,,,,,,0.0
L. Patterson Sac - SG,16,425,431,1.5,3.9,0.381,0.7,0.9,0.733,0.6,4.3,0.3,1.8,2.1,1.6,0.4,0.1,1.5
"C. Copeland NO - SF,PF",0,426,637,,,0.000,,,0.000,,,,,,,,,0.0
J. Eddie Was - SG,23,427,447,0.8,2.2,0.353,0.1,0.2,0.750,0.5,2.2,0.1,0.8,0.9,0.2,0.2,0.0,1.7
L. Amundson NY - PF,0,428,465,,,0.000,,,0.000,,,,,,,,,0.0
"C. Wood Cha - PF,C",20,429,421,1.3,2.9,0.456,0.6,1.0,0.579,0.2,3.4,0.8,1.5,2.2,0.3,0.4,0.4,1.2
C. Early NY - SF,0,430,481,,,0.000,,,0.000,,,,,,,,,0.0
L. Brown Det - PG,28,431,413,1.0,2.7,0.387,0.3,0.5,0.692,0.2,2.6,0.3,0.9,1.2,1.5,0.5,0.1,1.9
B. Weber Mia - PG,0,432,521,,,0.000,,,0.000,,,,,,,,,0.0
J. McRae Cle - SG,52,433,366,2.0,4.8,0.429,1.3,1.7,0.761,0.5,5.9,0.2,1.0,1.2,1.5,0.1,0.1,1.3
C. Jefferson Cle - PF,0,434,488,,,0.000,,,0.000,,,,,,,,,0.0
"M. McGary OKC - PF,C",10,435,454,1.1,2.1,0.524,0.3,0.7,0.429,0.1,2.6,0.5,1.2,1.7,0.3,0.2,0.1,0.4
J. Gutierrez Bkn - PG,0,436,472,,,0.000,,,0.000,,,,,,,,,0.0
D. Inglis Mil - SF,0,437,479,,,0.000,,,0.000,,,,,,,,,0.0
"N. Robinson NO - PG,SG",0,438,622,,,0.000,,,0.000,,,,,,,,,0.0
T. Wear LAL - PF,0,439,495,,,0.000,,,0.000,,,,,,,,,0.0
J. Young Bos - SG,0,440,478,,,0.000,,,0.000,,,,,,,,,0.0
A. Williams Pho - PF,37,441,355,1.6,3.5,0.453,1.3,1.9,0.681,0.0,4.5,1.7,2.9,4.6,0.6,0.6,0.6,0.8
"G. Smith Min - PF,C",0,442,623,,,0.000,,,0.000,,,,,,,,,0.0
"S. Novak Mil - SF,PF",32,443,424,1.0,2.2,0.443,0.1,0.1,1.000,0.8,2.8,0.1,0.6,0.7,0.2,0.1,0.0,1.2
"C. Bairstow Det - PF,C",0,444,485,,,0.000,,,0.000,,,,,,,,,0.0
J. Brown Mil - SG,0,445,497,,,0.000,,,0.000,,,,,,,,,0.0
J. Adams Mem - SG,25,446,423,1.1,2.7,0.418,0.5,0.7,0.722,0.3,3.0,0.2,0.6,0.9,0.6,0.5,0.2,0.9
"C. Hayes Hou - PF,C",0,447,629,,,0.000,,,0.000,,,,,,,,,0.0
"A. Goudelock Hou - PG,SG",0,448,618,,,0.000,,,0.000,,,,,,,,,0.0
J. Harris Bkn - SG,0,449,480,,,0.000,,,0.000,,,,,,,,,0.0
J. Lucas III Min - PG,0,450,633,,,0.000,,,0.000,,,,,,,,,0.0
"J. Cunningham Mil - PG,SG",0,451,630,,,0.000,,,0.000,,,,,,,,,0.0
"D. Jones Cle - SG,SF",0,452,608,,,0.000,,,0.000,,,,,,,,,0.0
S. Kaun Phi - C,0,453,516,,,0.000,,,0.000,,,,,,,,,0.0
W. Tavares Atl - C,22,454,420,1.2,2.2,0.563,0.4,0.8,0.500,0.0,2.9,0.9,1.7,2.6,0.3,0.1,0.6,0.5
J. Mickey Bos - PF,41,455,373,1.5,3.5,0.438,0.9,1.4,0.632,0.0,4.0,0.6,1.5,2.1,0.2,0.2,1.2,1.1
S. Whittington Ind - C,0,456,491,,,0.000,,,0.000,,,,,,,,,0.0
C. Alexander Orl - PF,0,457,513,,,0.000,,,0.000,,,,,,,,,0.0
B. Cotton Mem - PG,0,458,493,,,0.000,,,0.000,,,,,,,,,0.0
J. Stokes Den - PF,0,459,482,,,0.000,,,0.000,,,,,,,,,0.0
S. Dinwiddie Chi - PG,22,460,440,0.9,2.5,0.357,0.8,1.2,0.692,0.1,2.8,0.1,0.7,0.8,0.9,0.2,0.0,2.5
N. Mohammed OKC - C,0,461,477,,,0.000,,,0.000,,,,,,,,,0.0
T. Pleiss Phi - C,0,462,610,,,0.000,,,0.000,,,,,,,,,0.0
K. Looney GS - PF,27,463,436,0.8,1.4,0.538,0.1,0.2,0.600,0.1,1.7,0.4,1.0,1.4,0.1,0.1,0.2,0.6
"P. Connaughton Por - SG,SF",40,464,422,1.0,2.6,0.373,0.3,0.3,0.769,0.4,2.5,0.3,0.9,1.2,0.6,0.2,0.1,0.9
"O. Johnson Mil - SG,SF",0,465,632,,,0.000,,,0.000,,,,,,,,,0.0
E. Moreland Cle - PF,0,466,490,,,0.000,,,0.000,,,,,,,,,0.0
A. Onuaku Orl - PF,0,467,468,,,0.000,,,0.000,,,,,,,,,0.0
"B. Dawson Orl - SF,PF",0,468,509,,,0.000,,,0.000,,,,,,,,,0.0
N. Wolters Den - PG,0,469,463,,,0.000,,,0.000,,,,,,,,,0.0
R. Christmas Ind - PF,0,470,506,,,0.000,,,0.000,,,,,,,,,0.0
E. Williams GS - SG,21,471,444,1.0,2.3,0.417,0.5,0.7,0.733,0.2,2.7,0.1,0.6,0.8,0.5,0.2,0.0,1.4
N. Johnson Orl - SG,13,472,453,0.8,2.2,0.357,0.5,0.8,0.700,0.2,2.2,0.3,0.8,1.2,0.4,0.2,0.1,0.6
S. Dekker Hou - SF,43,473,398,1.3,3.1,0.406,0.5,0.7,0.700,0.4,3.4,0.6,1.3,1.9,0.7,0.3,0.0,0.9
D. Dukan Sac - SF,0,474,512,,,0.000,,,0.000,,,,,,,,,0.0
J. O'Brien Mil - SF,0,475,514,,,0.000,,,0.000,,,,,,,,,0.0
G. Stiemsma Por - C,0,476,583,,,0.000,,,0.000,,,,,,,,,0.0
G. Jerrett Por - PF,0,477,464,,,0.000,,,0.000,,,,,,,,,0.0
T. Murry Min - SG,0,478,470,,,0.000,,,0.000,,,,,,,,,0.0
P. Zipser Chi - SF,31,479,416,1.0,2.2,0.435,0.5,0.5,0.875,0.3,2.7,0.4,1.0,1.4,0.5,0.1,0.2,0.9
"T. Luwawu-Cabarrot Phi - SG,SF",23,480,429,1.2,3.2,0.384,0.6,0.9,0.700,0.4,3.4,0.3,1.0,1.3,0.7,0.5,0.1,1.0
P. McCaw GS - SG,50,481,357,1.3,3.1,0.432,0.7,0.9,0.745,0.5,3.9,0.3,1.1,1.4,1.0,0.7,0.1,1.7
P. Cornelie Den - PF,0,482,537,,,0.000,,,0.000,,,,,,,,,0.0
G. Bakumanya Pho - C,0,483,590,,,0.000,,,0.000,,,,,,,,,0.0
"D. Kennedy Den - SG,SF",0,484,626,,,0.000,,,0.000,,,,,,,,,0.0
P. Garino SA - SG,25,485,415,0.9,2.2,0.411,0.8,0.9,0.826,0.4,3.0,0.2,0.6,0.8,0.8,0.4,0.1,1.5
J. Holland Cle - SG,0,486,498,,,0.000,,,0.000,,,,,,,,,0.0
S. Christon OKC - PG,0,487,487,,,0.000,,,0.000,,,,,,,,,0.0
D. Davis Mem - PF,30,488,411,1.1,1.9,0.569,0.2,0.4,0.636,0.0,2.4,0.5,1.0,1.5,0.2,0.1,0.6,0.5
D. Bertans SA - SF,28,489,425,1.0,2.3,0.438,0.4,0.5,0.857,0.5,3.0,0.3,0.8,1.1,0.3,0.1,0.2,0.7
"L. Jean-Charles SA - SF,PF",54,490,347,1.7,3.1,0.545,0.7,1.0,0.673,0.0,4.0,1.1,1.8,2.9,0.6,0.3,0.3,0.9
B. Beech Bkn - SG,0,491,566,,,0.000,,,0.000,,,,,,,,,0.0
A. Hammons Dal - C,26,492,404,1.4,2.6,0.537,0.8,1.2,0.677,0.0,3.6,0.7,1.8,2.5,0.3,0.1,0.8,0.5
M. Brogdon Mil - SG,68,493,321,1.7,4.3,0.393,0.5,0.6,0.825,0.5,4.4,0.3,1.7,2.0,1.7,0.3,0.0,3.0
A. Nader Bos - PF,0,494,541,,,0.000,,,0.000,,,,,,,,,0.0
T. Freeman Det - PG,0,495,599,,,0.000,,,0.000,,,,,,,,,0.0
A. Andrews Cha - PG,0,496,562,,,0.000,,,0.000,,,,,,,,,0.0
"Y. Jianlian LAL - PF,C",60,497,326,2.1,5.0,0.415,1.1,1.4,0.774,0.2,5.4,0.9,2.3,3.1,0.5,0.3,0.5,0.7
M. Tobey Cha - C,0,498,551,,,0.000,,,0.000,,,,,,,,,0.0
K. Felder Cle - PG,53,499,327,1.6,3.8,0.417,1.6,1.9,0.835,0.5,5.4,0.1,0.9,1.1,1.6,0.6,0.1,1.7
S. Zimmerman Jr. Orl - PF,0,500,533,,,0.000,,,0.000,,,,,,,,,0.0
K. Wiltjer Hou - PF,0,501,587,,,0.000,,,0.000,,,,,,,,,0.0
S. McClellan Was - SG,0,502,574,,,0.000,,,0.000,,,,,,,,,0.0
"T. Satoransky Was - PG,SG",39,503,385,1.2,2.4,0.474,0.8,1.0,0.750,0.3,3.4,0.2,0.9,1.1,1.5,0.4,0.1,2.3
W. Selden Jr. Mem - SG,0,504,555,,,0.000,,,0.000,,,,,,,,,0.0
P. Ellis Cha - PF,0,505,588,,,0.000,,,0.000,,,,,,,,,0.0
M. Kuzminskas NY - SF,65,506,296,2.6,5.7,0.454,1.3,1.6,0.832,0.8,7.2,0.7,1.2,1.9,0.8,0.5,0.3,0.8
"M. Ndour NY - SF,PF",16,507,448,0.7,1.3,0.524,0.3,0.4,0.667,0.1,1.7,0.3,0.9,1.3,0.1,0.3,0.4,0.1
C. Ware Was - PG,0,508,474,,,0.000,,,0.000,,,,,,,,,0.0
Y. Moreira Tor - C,0,509,557,,,0.000,,,0.000,,,,,,,,,0.0
D. Ochefu Was - C,0,510,575,,,0.000,,,0.000,,,,,,,,,0.0
D. Murray SA - PG,44,511,368,2.2,5.2,0.427,0.7,1.0,0.705,0.3,5.4,0.3,1.7,2.0,1.2,0.8,0.3,0.8
N. Jovanovic Det - PF,0,512,600,,,0.000,,,0.000,,,,,,,,,0.0
D. Stone LAC - C,7,513,451,1.4,2.4,0.588,0.7,1.0,0.714,0.0,3.6,0.4,1.0,1.4,0.1,0.1,0.4,0.3
J. Avila Chi - SF,0,514,596,,,0.000,,,0.000,,,,,,,,,0.0
K. Benson Mia - C,0,515,619,,,0.000,,,0.000,,,,,,,,,0.0
B. Paul Phi - SG,0,516,550,,,0.000,,,0.000,,,,,,,,,0.0
C. Onuaku Hou - C,19,517,434,0.9,1.6,0.581,0.3,0.4,0.625,0.0,2.2,0.7,1.3,2.0,0.3,0.2,0.5,0.7
M. Richardson Sac - SG,44,518,388,1.5,4.0,0.379,0.9,1.3,0.696,0.7,4.6,0.2,1.4,1.6,0.8,0.4,0.1,0.9
I. Cordinier Atl - SG,0,519,535,,,0.000,,,0.000,,,,,,,,,0.0
D. Bembry Atl - SF,62,520,333,1.4,3.1,0.438,0.8,1.2,0.658,0.3,3.8,0.4,1.7,2.1,1.1,0.4,0.2,1.9
D. Finney-Smith Dal - PF,0,521,545,,,0.000,,,0.000,,,,,,,,,0.0
"J. Hernangomez Den - SF,PF",58,522,331,1.6,3.5,0.458,1.3,1.7,0.730,0.3,4.8,0.8,2.1,2.9,0.3,0.5,0.2,0.5
A. Barber Phi - PG,0,523,560,,,0.000,,,0.000,,,,,,,,,0.0
G. Yabusele Bos - PF,0,524,523,,,0.000,,,0.000,,,,,,,,,0.0
D. Lee Bos - SG,0,525,578,,,0.000,,,0.000,,,,,,,,,0.0
M. Chriss Pho - PF,62,526,375,1.7,4.3,0.408,0.9,1.3,0.651,0.2,4.5,1.0,2.1,3.1,0.1,0.2,0.3,0.1
M. Paige Uta - PG,0,527,538,,,0.000,,,0.000,,,,,,,,,0.0
R. Baker NY - SG,0,528,553,,,0.000,,,0.000,,,,,,,,,0.0
"B. Brown Hou - PG,SG",0,529,517,,,0.000,,,0.000,,,,,,,,,0.0
A. Zizic Bos - C,0,530,526,,,0.000,,,0.000,,,,,,,,,0.0
D. Cooke Jr. Pho - PF,0,531,591,,,0.000,,,0.000,,,,,,,,,0.0
"D. Liggins Cle - SG,SF",0,532,620,,,0.000,,,0.000,,,,,,,,,0.0
D. Hamilton OKC - SF,0,533,539,,,0.000,,,0.000,,,,,,,,,0.0
"E. Dawson Uta - SF,PF",0,534,625,,,0.000,,,0.000,,,,,,,,,0.0
S. Rodriguez Phi - PG,47,535,374,1.5,3.6,0.419,0.8,1.0,0.822,0.5,4.3,0.1,0.8,0.9,1.7,0.3,0.0,1.7
J. Holmes Cle - PF,0,536,515,,,0.000,,,0.000,,,,,,,,,0.0
B. Heslip Tor - PG,0,537,496,,,0.000,,,0.000,,,,,,,,,0.0
E. Cook GS - SF,0,538,579,,,0.000,,,0.000,,,,,,,,,0.0
F. VanVleet Tor - PG,26,539,414,1.0,2.2,0.431,0.3,0.4,0.727,0.3,2.6,0.2,1.0,1.2,0.7,0.5,0.1,1.9
J. Layman Por - PF,30,540,432,0.7,1.5,0.457,0.4,0.5,0.800,0.3,2.1,0.2,0.8,1.0,0.2,0.2,0.2,0.4
S. Wood GS - SF,0,541,589,,,0.000,,,0.000,,,,,,,,,0.0
T. Williams Mem - PF,0,542,556,,,0.000,,,0.000,,,,,,,,,0.0
A. Caruso OKC - SG,0,543,601,,,0.000,,,0.000,,,,,,,,,0.0
T. Ulis Pho - PG,52,544,315,2.2,5.4,0.404,0.8,1.1,0.782,0.3,5.5,0.2,0.7,0.9,2.4,1.1,0.0,2.8
D. Crawford Tor - SG,0,545,501,,,0.000,,,0.000,,,,,,,,,0.0
R. Sulaimon Cha - SG,0,546,563,,,0.000,,,0.000,,,,,,,,,0.0
M. Plumlee NY - C,0,547,544,,,0.000,,,0.000,,,,,,,,,0.0
C. LeVert Bkn - SG,59,548,257,2.6,5.7,0.461,1.8,2.4,0.773,0.9,8.0,0.4,2.5,2.9,2.4,0.5,0.1,2.7
R. Zagorac Mem - SF,0,549,530,,,0.000,,,0.000,,,,,,,,,0.0
I. Whitehead Bkn - SG,45,550,387,1.2,3.5,0.352,1.1,1.5,0.742,0.5,4.1,0.1,0.9,1.0,1.2,0.4,0.3,1.2
R. Solomon Atl - PF,0,551,503,,,0.000,,,0.000,,,,,,,,,0.0
Y. Ferrell Bkn - PG,0,552,567,,,0.000,,,0.000,,,,,,,,,0.0
D. Smith-Rivera Chi - PG,0,553,594,,,0.000,,,0.000,,,,,,,,,0.0
W. Zhelin Mem - C,0,554,540,,,0.000,,,0.000,,,,,,,,,0.0
D. Stephens Mem - SF,0,555,475,,,0.000,,,0.000,,,,,,,,,0.0
J. Poeltl Tor - PF,61,556,277,1.7,2.8,0.616,0.8,1.1,0.687,0.0,4.2,1.6,2.3,3.8,0.6,0.5,1.2,0.9
G. Niang Ind - PF,40,557,383,1.4,2.8,0.487,0.8,1.0,0.825,0.4,4.0,0.4,1.4,1.8,0.9,0.3,0.2,1.2
T. Quarterman Por - PG,0,558,552,,,0.000,,,0.000,,,,,,,,,0.0
C. Jones GS - SG,0,559,471,,,0.000,,,0.000,,,,,,,,,0.0
T. He NO - SF,0,560,580,,,0.000,,,0.000,,,,,,,,,0.0
Q. Ford Uta - SF,0,561,561,,,0.000,,,0.000,,,,,,,,,0.0
W. Baldwin IV Mem - PG,0,562,524,,,0.000,,,0.000,,,,,,,,,0.0
D. Sabonis OKC - PF,72,563,254,2.6,4.8,0.545,1.8,2.4,0.747,0.0,7.1,1.0,2.9,3.9,0.7,0.4,0.4,0.7
I. Zubac LAL - C,46,564,384,1.7,3.0,0.555,0.4,0.8,0.541,0.0,3.7,0.6,1.1,1.7,0.0,0.1,0.6,0.2
