Players,GP,Pre,Current,FGM,FGA,FG,FTM,FTA,FT,3PTM,PTS,OREB,DREB,REB,AST,ST,BLK,A/T
"D. Harris Dal - PG,SG",60,212,281,2.3,5.2,0.442,1.5,1.9,0.767,0.7,6.8,0.2,1.6,1.8,1.9,0.8,0.2,2.1
"M. Williams Cle - PG,SG",0,213,613,,,0.000,,,0.000,,,,,,,,,0.0
"J. Smith Hou - SF,PF",15,214,437,1.4,3.5,0.396,0.5,0.9,0.615,0.4,3.7,0.6,1.7,2.3,1.0,0.3,0.5,1.1
"J. Green Orl - SG,SF",80,215,150,3.9,9.2,0.426,2.1,2.7,0.776,0.8,10.8,0.8,3.0,3.8,1.5,0.6,0.5,1.4
"D. Lee SA - PF,C",64,216,195,3.5,6.6,0.526,1.5,1.9,0.772,0.0,8.5,1.8,3.8,5.6,1.8,0.5,0.5,1.6
"T. Ross Tor - SG,SF",76,217,218,3.5,8.4,0.422,0.6,0.7,0.804,1.6,9.3,0.4,2.2,2.6,0.8,0.7,0.3,1.2
"S. Muhammad Min - SG,SF",72,218,238,3.6,7.6,0.474,2.2,2.9,0.756,0.6,10.0,1.2,2.0,3.2,0.7,0.3,0.1,0.9
"O. Asik NO - PF,C",73,219,268,1.8,3.4,0.528,1.2,2.2,0.570,0.0,4.8,2.2,4.8,7.1,0.5,0.3,0.4,0.5
T. Lawson Sac - PG,71,220,184,2.5,5.9,0.427,1.3,1.8,0.724,0.7,7.1,0.5,2.2,2.7,4.3,0.8,0.1,3.3
"J. Jack Atl - PG,SG",65,221,163,3.5,8.2,0.424,2.1,2.4,0.860,0.8,9.8,0.2,2.8,3.0,4.8,0.8,0.1,2.4
"W. Johnson LAC - SG,SF",78,222,208,2.6,6.3,0.411,0.6,0.8,0.697,1.3,7.1,0.5,2.6,3.0,0.8,0.9,0.7,1.1
"B. Bass LAC - PF,C",79,223,219,2.1,4.1,0.520,1.4,1.7,0.836,0.0,5.7,1.1,2.2,3.3,1.0,0.4,0.6,1.8
J. Calderon LAL - PG,67,224,236,2.1,4.8,0.443,0.5,0.6,0.895,1.0,5.8,0.3,2.1,2.4,3.3,0.7,0.1,3.2
"L. Galloway NO - PG,SG",82,225,157,2.9,7.1,0.401,1.0,1.3,0.790,1.0,7.8,0.5,2.8,3.3,2.3,0.9,0.3,3.0
"T. Sefolosha Atl - SG,SF",76,226,235,1.8,4.0,0.450,0.8,1.1,0.711,0.5,4.9,0.6,3.1,3.7,1.2,1.0,0.4,1.6
"M. Chalmers Mem - PG,SG",48,227,273,2.3,5.6,0.412,2.5,3.1,0.792,0.8,7.9,0.3,1.7,2.0,3.0,1.2,0.1,2.4
"O. Casspi Sac - SF,PF",69,228,196,3.7,7.9,0.464,1.5,2.2,0.684,1.3,10.1,0.8,4.4,5.2,1.3,0.7,0.2,1.0
