Rank,Name,Position,Team,Best,Worst,Draft,Dev 
391,Rashad Vaughn,SG,MIL,372,372,372,0
392,Kevon Looney,PF,GSW,373,373,373,0
393,Axel Toupane,G,DEN,374,374,374,0
394,R.J. Hunter,G,BOS,375,375,375,0
395,Beno Udrih,G,MIA,376,376,376,0
396,Nick Collison,F,OKC,377,377,377,0
397,Adreian Payne,F,MIN,378,378,378,0
398,Jordan McRae,G,CLE,380,380,380,0
399,Lamar Patterson,G,SAC,381,381,381,0
400,Walter Tavares,C,ATL,382,382,382,0
401,James Michael McAdoo,F,GSW,383,383,383,0
402,Lorenzo Brown,G,DET,384,384,384,0
403,Archie Goodwin,G,PHO,386,386,386,0
404,Bruno Caboclo,F,TOR,387,387,387,0
405,Aaron Harrison,SG,CHA,388,388,388,0
406,Pat Connaughton,G,POR,389,389,389,0
407,Rakeem Christmas,C,IND,390,390,390,0
408,Jordan Mickey,PF,BOS,391,391,391,0
409,Kevin Garnett,F,FA,392,392,392,0
410,Briante Weber,G,MIA,393,393,393,0
411,James Young,G,BOS,394,394,394,0
412,Josh Huestis,F,OKC,395,395,395,0
413,Jordan Farmar,G,SAC,396,396,396,0
414,Chris Copeland,F,FA,397,397,397,0
415,Damjan Rudez,F,ORL,398,398,398,0
416,Jarnell Stokes,F,DEN,399,399,399,0
417,Ryan Kelly,F,ATL,400,400,400,0
418,Robert Sacre,C,NOR,401,401,401,0
419,Lou Amundson,F,NYK,402,402,402,0
420,Mitch McGary,F,OKC,403,403,403,0
421,Luis Montero,G,POR,404,404,404,0
422,Spencer Dinwiddie,G,CHI,405,405,405,0
